label,text
ham,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,"Ok lar... Joking wif u oni..."
spam,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate). T&C's apply"
ham,"U dun say so early hor... U c already then say..."
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Txt: CHASE to 500..."
ham,"Even my brother is not like to speak with me. They treat me like aids patent."
ham,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your caller tune for all Callers. Press *9 to copy your friends caller tune"
spam,"WINNER!! As a valued network customer you have been selected to receive a £900 prize reward!"
spam,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free!"
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
ham,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CASH to 82555 0870..."
ham,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot!"
ham,"I've been searching for the right words to thank you for this breather..."
ham,"I LOVE YOU. WILL YOU MARRY ME?"
ham,"I need to pick up some groceries for dinner. Coming with me?"
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next message."
ham,"Are you coming to the office today?"
ham,"Your exam tomorrow is at 10 AM. Don't be late!"
spam,"You have won a guaranteed £200 cash prize or £1000 holiday!"
ham,"I'll call you later"
ham,"Did u see what i posted yesterday?"
ham,"How was your day?"
spam,"URGENT! Claim your guaranteed cash prize now. Text WIN to 80085."
ham,"Just reached home."
ham,"Ok then see you later :)"
spam,"You are awarded a SiPix Digital Camera! Call 09061221066 from mobile."
ham,"I will come by 7 pm"
ham,"I'll text you once I reach"
ham,"See you at the gym at 6?"
spam,"Congratulations You have won a lottery of $1000! Call 09050002311 to claim."
ham,"Don't forget to submit the assignment by tonight."
ham,"Mom made your favourite dish, come home early."
spam,"Urgent: You have been selected for a $5000 prize. Reply CLAIM to confirm."
ham,"Bring the books I lent you."
ham,"Meeting postponed to 3 PM."
spam,"WIN a brand new car! Text CAR to 84242 now."
ham,"Can you pick up milk on your way?"
ham,"Let's catch a movie this weekend."
spam,"Exclusive offer! Get cheap meds without prescription. Visit pharma.example.com"
ham,"I'll be there in 10 minutes."
spam,"You've been specially selected to receive a $1000 Walmart gift card."
ham,"Please review the attached document."
spam,"Get a loan at 0% interest. Apply now by calling 0800123456."
ham,"Call me when you're free."
ham,"Congrats on your promotion!"
spam,"Lowest price Viagra! Order now at cheappills.example.com"
ham,"-See you soon-"
ham,"Where are you?"
spam,"You have won a free voucher. Text FREE to 86021."
ham,"Thanks for the help earlier."
spam,"This is the final notice for your car warranty renewal. Call 09061701461."
ham,"Going out for lunch, want anything?"
ham,"Can you send me the notes?"
spam,"FREE entry into our competition, text WINNER to 85069 now!"
ham,"Happy Birthday! Wish you the best."
spam,"Claim your prize now! Visit claim.example.com"
ham,"I'll pick you up at 8."
ham,"The lecture is cancelled today."
spam,"You are selected to receive a FREE cruise holiday. Call 09066628302 to claim!"
ham,"Please keep the door closed."
ham,"I left my keys at your place."
ham,"I'll be at the library until 7 if you want to join."
spam,"WINNER! You have Won a £1000 bonus! Text CLAIM to 81010 now."
ham,"Don't worry about it, everything is fine."
ham,"Pick up some bread on your way home?"
spam,"You have been selected for a prize. Call 09050090044 to claim."
ham,"Are we meeting at the usual place?"
spam,"Act now to get cheap loans approved instantly. Reply LOAN to 84242."
ham,"Please check the meeting agenda I emailed."
ham,"I will bring the charger."
spam,"You have won a brand new car! Reply YES to claim."
ham,"Can you cover my shift tomorrow?"
spam,"Exclusive deal: buy 1 get 2 free. Visit shop.example.com"
ham,"Let's study together for the exam."
spam,"Get 50% off on all products today only. Reply SALE to 85300."
ham,"I'll send the report by evening."
spam,"You have a pending security alert. Verify your account now at secure.example.com"
ham,"Running late, be there in 15 minutes."
spam,"FREE ringtone! Text TUNE to 87070."
ham,"I need the project files by tomorrow morning."
spam,"Hot singles in your area! Visit singles.example.com"
ham,"Thanks, that was helpful."
spam,"Congratulations! You won a holiday. Call 09061701461 to claim."
ham,"Please water my plants while I'm away."
spam,"URGENT! Your account has been compromised. Click fakebank.example.com to secure it."
ham,"Are you free this weekend?"
ham,"I'll be online after dinner."
spam,"You have been specially selected to receive a FREE prize, text YES to 82155."
ham,"Meeting at 4pm in conference room."
spam,"Winner! Call 09065949285 to claim your reward."
ham,"Can you send the document again? I didn't get it."
spam,"Congratulations! Prize awaiting. Reply CLAIM to receive details."
ham,"See you at the gym tomorrow."
ham,"Please confirm your attendance for Saturday's workshop."
spam,"Limited time offer: Apply for quick loans now. Call 09050090044."
ham,"I'll pick up the parcel from the post office."
ham,"Let's meet for coffee at 5."
spam,"You have won a cash prize! Call 09050001234 to claim now."
ham,"Bring the charger for my laptop."
spam,"Message from bank: You have been approved for a loan. Reply YES to accept."
ham,"Are you attending the seminar next week?"
spam,"Free rewards available! Text REWARD to 84242."
ham,"Please resend the invitation email."
ham,"Do you want me to book the tickets?"
spam,"You have won a free ticket! Call 09063458130 to claim."
ham,"I'll drop by after work."
spam,"Exclusive cash prize! Text MONEY to 87077 now."
ham,"Can you pick up my sister from school?"
ham,"The meeting was very productive today."
spam,"Claim your voucher now. Visit voucher.example.com"
ham,"I'll be out of town tomorrow."
spam,"You've been selected to receive a free TV! Call 09061701461."
ham,"Please submit your assignment by midnight."
spam,"Special offer! Get cheap meds at cheappills.example.com"
ham,"Let me know when you're free to talk."
spam,"You've won a guaranteed prize. Reply WIN to 88088."
ham,"I'll call you after the meeting."
ham,"Do you want to join for dinner tonight?"
spam,"Congratulations! You have been selected for a prize worth £500. Call 09050002311."
ham,"Can you email the minutes of the meeting?"
ham,"I will be there by 6 PM."
spam,"Urgent: Update your account information now at fakebank.example.com"
ham,"Thanks for covering my shift."
ham,"I'll pick up coffee on my way."
spam,"You are a winner! Call 09061701461 to claim your reward."
ham,"Do you need help with the assignment?"
spam,"Limited offer! Get a new phone for free. Reply PHONE to 84242."
ham,"See you at practice."
ham,"Please review the draft and send feedback."
spam,"Act now! Low interest loans available. Reply LOAN to 85300."
ham,"I will be traveling next week, keep me posted."
spam,"You have won a prize in the sweepstakes. Call 09050002311 to claim now."
ham,"I'll bring snacks for the group study."
spam,"Earn money working from home. Visit workfromhome.example.com"
ham,"Just finished the meeting; will update you soon."
ham,"Please remind me to call the electrician."
spam,"Get your degree online in 6 months! Visit quickdegree.example.com"
ham,"Let me know your available dates."
spam,"Congratulations! You have been awarded a gift voucher. Call 09061701461."
ham,"I'll check the schedule and get back to you."
spam,"Win a holiday now! Text HOLIDAY to 84242."
ham,"Please note the change in venue for tomorrow's event."
ham,"I'll handle the booking."
spam,"Congratulations! You've won a cash prize. Call 09050090044 to claim."
ham,"Thanks for the update."
spam,"Free trial available now. Reply TRIAL to 87077."
ham,"Are we still on for lunch?"
spam,"You are selected for a reward. Visit reward.example.com to claim."
ham,"I'll forward the email to you."
spam,"Final notice: You won a prize. Call 09063458130 now."
ham,"Please check the attached invoice."
ham,"I'll bring the files to the office."
spam,"You have been selected to receive a free gift. Reply GIFT to 84242."
ham,"Let's meet after the lecture."
spam,"You've won a prize! Text WIN to 87070 now."
ham,"Please keep me updated on the progress."
spam,"You are lucky! Claim your reward by calling 09061701461."
ham,"I'll be at the workshop by 9 AM."
spam,"Exclusive cashback offer! Visit cashback.example.com"
ham,"Can you proofread the document?"
ham,"Let's reschedule the meeting to next Tuesday."
spam,"You have won £500 cash! Call 09050002311 to claim."
ham,"Please confirm the booking for tomorrow."
spam,"Winner! Call 09065949285 to claim your prize now."
ham,"I'll attend the online class."
spam,"Act now to receive a free gift. Reply FREE to 82155."
ham,"Please send the invoice to accounts."
spam,"Apply now for instant loans. Reply LOAN to 85300."
ham,"What time is the practice tomorrow?"
spam,"You won a prize! Call 09050001234 to claim."
ham,"See you at the event this weekend."
ham,"Remember to bring the lab coat."
spam,"Congratulations! Claim your reward by calling 09061701461."
ham,"I will drop the documents at your desk."
spam,"You have won a guaranteed prize! Call 09063458130 to claim now."
ham,"Please book the conference room for 3 PM."
spam,"Limited offer! Get cash now by replying CASH to 87077."
ham,"Can you share your slides after the presentation?"
ham,"Let's go for a run tomorrow morning."
spam,"You have been selected for a reward. Call 09050090044 to claim."
ham,"I'll send the updated spreadsheet."
spam,"Win a brand new phone! Reply PHONE to 84242."
ham,"Please confirm receipt of the package."
spam,"You are a winner! Visit winner.example.com to claim your prize."
ham,"I'll be late by 10 minutes."
spam,"Exclusive offer: free consultation for a limited time. Reply CONSULT to 85300."
ham,"Do you have the final figures for the report?"
spam,"Hot deal: buy one get one free. Visit bogo.example.com"
ham,"Can you join the call at 3 PM?"
spam,"You've won a holiday! Call 09061701461 to claim."
ham,"I'll be available after 5 PM."
spam,"Claim your prize now! Text CLAIM to 87070."
ham,"Please send the revised document."
spam,"Lottery winner! Call 09050002311 to claim your reward."
ham,"Are you free for a quick call now?"
spam,"You have been selected to receive a free voucher! Reply FREE to 82155."
ham,"I'll pick up the cake on my way."
spam,"Message from service: You have won a prize. Call 09061701461."
ham,"Let's plan the trip next month."
ham,"Please approve the leave request."
spam,"Act fast! Get cash instantly. Reply CASH to 87077."
ham,"I'll check the details and respond."
spam,"You have won! Call 09065949285 to claim your reward."
ham,"Please confirm the venue change."
