label,text
0,"Streetlight not working near Sector 5 for the last three days."
0,"Road pothole on MG Road causing traffic congestion during peak hours."
0,"Garbage has not been collected in our lane for nearly a week."
0,"Water supply disruption in Block C since early morning."
0,"Sewage overflow near the park entrance creating foul smell."
0,"Public tap leaking continuously near the community hall."
0,"Electricity outage in our apartment complex for more than five hours."
0,"Manhole cover missing near bus stop posing danger to pedestrians."
0,"Tree branches fallen on the main road after the storm."
0,"Requesting repair of damaged footpath tiles in front of shop no. 21."
0,"Broken traffic signal at the crossing near City Mall."
0,"No water tanker arrived despite repeated complaints."
0,"Street dogs causing nuisance and chasing children in the colony."
0,"Illegal parking outside school causing road blockage."
0,"Drainage water flowing onto the street in front of House 108."
0,"Transformer making loud noise; possibility of electrical hazard."
0,"Construction debris dumped illegally on roadside."
0,"Overhead streetlight flickering continuously near Tower D."
0,"Public toilet in poor condition; no cleaning done for several days."
0,"Garbage container overflowing; needs urgent cleaning."
0,"Waterlogged road after light rain, poor drainage system."
0,"Broken speed breaker damaging vehicles near Gate No. 2."
0,"Noise pollution from nearby workshop beyond permissible limits."
0,"Encroachment on footpath by local vendors.”
0,"School bus blocking the main road every morning."
0,"Street vendor burning waste causing smoke pollution."
0,"Complaint regarding foul smell from the nearby drain."
0,"Traffic congestion due to malfunctioning signal at Central Square."
0,"Streetlight pole bent dangerously near community center."
0,"Mosquito breeding due to stagnant water behind building 7."
0,"Requesting cleaning of public park; litter scattered everywhere."
0,"Signboard fallen on footpath; requires immediate fixing."
0,"Dustbins missing from the lane, causing littering on roads."
0,"Public transport bus stop shelter damaged."
0,"Open electric wires exposed near transformer."
0,"Stray cattle blocking traffic on the main road."
0,"Unauthorized shop extension blocking the walkway."
0,"Overhead water tank leaking continuously."
0,"Bad odor from garbage dump near residential area."
0,"Complaint about slow drainage near Temple Road."
0,"Requesting sanitation staff visit; area very dirty."
0,"Public garden equipment broken; children unable to use swings."
0,"Auto drivers refusing meter and overcharging passengers."
0,"Streetlight completely off near the metro station."
0,"Tanker water supply irregular since last two weeks."
0,"Complaints regarding loud DJ music late at night."
0,"Illegal construction taking place beside House 32."
0,"Potholes near the school entrance causing risk to students."
0,"Railway crossing gate malfunctioning causing long delays."
0,"Footpath encroached by parked vehicles."
0,"Municipal tap running dry for several days."
0,"Complaint about garbage burning near the residential complex."
0,"Drainage pipeline damaged causing water overflow."
0,"Water contamination noticed in tap water supply."
0,"Complaint regarding overcrowded buses in morning hours."
0,"Road divider broken near the roundabout."
0,"Streetlight remains on even during daytime; wastage of electricity."
0,"Complaint about excessive dust from nearby construction site."
0,"Public garden lights not working in the evening."
0,"Uncollected trash causing health risk in locality."
0,"Stormwater drain blocked due to plastic waste."
0,"Complaint regarding stray dog bites reported recently."
0,"Bus route timings not followed as per schedule."
0,"Complaint about illegal banners placed on street poles."
0,"Street flooded due to damaged pipeline near rented houses."
0,"Request for fogging due to rise in mosquito cases."
0,"Pedestrian crossing sign missing on main road."
0,"Complaint about damaged guardrails near the flyover."
0,"Footpath slope dangerous for senior citizens; needs repair."
0,"Overhead wires hanging low near Lane 4."
0,"Complaint about lack of street cleaning in the area."
0,"Broken bench in public park needs replacement."
0,"Road widening work left incomplete for months."
0,"High noise levels from nearby factory at night."
0,"Garbage collector not visiting the area regularly."
0,"Complaint regarding poor water pressure on top floors."
0,"Public dustbin set on fire by miscreants."
0,"Request for repainting zebra crossing lines."
0,"Street signboards missing after storm."
0,"Electric pole leaning due to rust; needs fixing."
0,"Dogs entering children’s play area creating fear among parents."
0,"Complaint about open drain beside bakery shop."
0,"Flooding reported inside houses during rainfall."
0,"Request for new streetlight installation in dark alley."
0,"Street vendors blocking entry gates of apartments."
0,"Complaint about frequent bus cancellations without notice."
0,"Heavy vehicle entering no-entry zone near market."
0,"Complaint about broken drinking water tap at public stand."
0,"Unattended garbage attracting flies and insects."
0,"Broken footbridge handrail posing danger to pedestrians."
0,"Complaint about tree blocking CCTV camera view."
0,"Water overflowing from overhead tank on building terrace."
0,"Illegal posters pasted on compound walls."
0,"Complaint about auto-rickshaw stand creating road jam."
0,"Water drainage leakage inside community hall."
0,"Street corner dark and unsafe due to fused light."
0,"Request for cleaning of roadside shrubs."
0,"Mosquito fogging not done last month."
0,"Water pooled near bus stand after pipeline leak."
0,"Potholes causing accidents near Temple Circle."
0,"Complaint about unsafe pedestrian enclosure near metro gate."
0,"Public garbage bin stolen from the neighborhood."
0,"Filthy smell from nearby nala affecting residents."
