label,text
1,"Kindly note: Please send me ₹20000 immediately, it's urgent."
1,I NEED ₹1000 FOR MEDICAL BILLS. TRANSFER NOW. Please help!
1,Can you transfer ₹20000 to my account? My family needs it.
1,"Send me money ₹1500 ASAP, I will pay back later. Please help!"
1,Please help me with ₹1000. I have no other option.
1,"FYI, Requesting urgent cash ₹5000. Please transfer to this account."
1,Please deposit ₹500 into my bank account today.
1,"I am stranded, please send ₹7500 immediately."
1,Kindly note: Help me: need ₹20000 for hospital. Transfer now.
1,I will give you details—please wire ₹20000 now. 🙏
1,I want to meet the Prime Minister. Arrange it for me. Please help!
1,Request: Please get me a meeting with the Chief Minister.
1,Can you arrange to meet the Mayor? It's important.
1,I need an appointment with the district collector tomorrow. Please help!
1,"Make me meet the minister, I have an urgent request. Please help!"
1,I must meet the MP; arrange a direct meeting. Please help!
1,Please connect me to the mayor's office for a meeting. Please help!
1,Make me an SI officer; I will pay any charge.
1,"Give me a government job, I need a stable position."
1,I want to be appointed to a government post. Help me. Please help! 🙏
1,Get me a job in the police department urgently.
1,Request: I can pay for a government job arrangement. Contact me.
1,"Provide me a free house under your scheme, I qualify."
1,I need a free water connection upgrade now.
1,Send me the free solar panel they promised. 🙏
1,URGENT: Claim my free subsidy of ₹15000 for house repair. Please help! 🙏
1,I want the free LPG cylinder—send details to claim.
1,My grievance account is suspended. Verify and reactivate it now.
1,Update my KYC and send the OTP here to reactivate benefits.
1,Kindly note: Verify my bank details to receive the grant.
1,Your portal asks for verification; please submit my KYC.
1,I GOT A NOTIFICATION FOR KYC—HELP ME COMPLETE IT AND SEND OTP.
1,"If you don't help me, I will escalate this to the PMO."
1,Do this now or I will file a public complaint against you.
1,You have 24 hours to resolve my issue or else consequences follow.
1,Resolve my problem or face a legal notice from me. 🙏
1,"Call me right now, I need to talk about personal matters. Please help!"
1,What's up? Please call me to discuss something private.
1,"Hi, are you free? I want to chat about a favour."
1,Kindly note: Meet me personally; I have something important to tell you.
1,"Hello, You have won a citizen reward of ₹1000! Reply YES to claim."
1,Your grievance qualifies for a cash prize of ₹3000. Click link.
1,Claim your municipal refund of ₹15000 by providing bank details.
1,CONGRATULATIONS! YOU ARE SELECTED FOR A COMPENSATION OF ₹1000. Please help!
1,"FYI, Pay ₹15000 to fast-track your complaint and get immediate action."
1,Request: Activate priority resolution for ₹500. Send payment now. Please help!
1,Your complaint can be resolved urgently if you pay ₹1500. 🙏
1,Please help me get my child's admission done; pay any charges.
1,I need a favour: get my documents approved quickly.
1,URGENT: I will pay you if you can get my issue cleared today.
1,"Please send me ₹2000 immediately, it's urgent. 🙏"
1,I need ₹3000 for medical bills. Transfer now.
1,CAN YOU TRANSFER ₹1000 TO MY ACCOUNT? MY FAMILY NEEDS IT.
1,"Kindly note: Send me money ₹2000 ASAP, I will pay back later."
1,Please help me with ₹20000. I have no other option. 🙏
1,"FYI, REQUESTING URGENT CASH ₹2500. PLEASE TRANSFER TO THIS ACCOUNT."
1,"Hello, Please deposit ₹10000 into my bank account today. Please help!"
1,"I am stranded, please send ₹20000 immediately. 🙏"
1,Help me: need ₹3000 for hospital. Transfer now. Please help!
1,I will give you details—please wire ₹3000 now. Please help!
1,I want to meet the Prime Minister. Arrange it for me. 🙏
1,Please get me a meeting with the Chief Minister.
1,Can you arrange to meet the Mayor? It's important.
1,I need an appointment with the district collector tomorrow.
1,"URGENT: MAKE ME MEET THE MINISTER, I HAVE AN URGENT REQUEST."
1,I must meet the MP; arrange a direct meeting.
1,Please connect me to the mayor's office for a meeting.
1,Make me an SI officer; I will pay any charge.
1,"Request: Give me a government job, I need a stable position."
1,I want to be appointed to a government post. Help me.
1,Get me a job in the police department urgently.
1,I can pay for a government job arrangement. Contact me.
1,"Provide me a free house under your scheme, I qualify. Please help!"
1,Request: I need a free water connection upgrade now.
1,Send me the free solar panel they promised. Please help!
1,Claim my free subsidy of ₹3000 for house repair.
1,I want the free LPG cylinder—send details to claim.
1,My grievance account is suspended. Verify and reactivate it now.
1,Update my KYC and send the OTP here to reactivate benefits.
1,Verify my bank details to receive the grant.
1,Your portal asks for verification; please submit my KYC.
1,I GOT A NOTIFICATION FOR KYC—HELP ME COMPLETE IT AND SEND OTP. 🙏
1,"URGENT: If you don't help me, I will escalate this to the PMO. Please help!"
1,Do this now or I will file a public complaint against you.
1,You have 24 hours to resolve my issue or else consequences follow. Please help!
1,"FYI, Resolve my problem or face a legal notice from me."
1,"Call me right now, I need to talk about personal matters."
1,What's up? Please call me to discuss something private.
1,"Kindly note: Hi, are you free? I want to chat about a favour."
1,Meet me personally; I have something important to tell you.
1,You have won a citizen reward of ₹2500! Reply YES to claim.
1,Your grievance qualifies for a cash prize of ₹3000. Click link. Please help!
1,Claim your municipal refund of ₹15000 by providing bank details.
1,Congratulations! You are selected for a compensation of ₹2500. 🙏
1,Request: Pay ₹1000 to fast-track your complaint and get immediate action.
1,ATTN: Activate priority resolution for ₹500. Send payment now.
1,Your complaint can be resolved urgently if you pay ₹3000.
1,ATTN: Please help me get my child's admission done; pay any charges.
1,I need a favour: get my documents approved quickly.
1,I will pay you if you can get my issue cleared today.
1,"Please send me ₹500 immediately, it's urgent."
1,I need ₹500 for medical bills. Transfer now. 🙏
1,URGENT: Can you transfer ₹7500 to my account? My family needs it. Please help! 🙏
1,"SEND ME MONEY ₹15000 ASAP, I WILL PAY BACK LATER."
1,"Hello, Please help me with ₹15000. I have no other option."
1,Requesting urgent cash ₹15000. Please transfer to this account.
1,ATTN: Please deposit ₹20000 into my bank account today. Please help!
1,"FYI, I am stranded, please send ₹2500 immediately."
1,Help me: need ₹20000 for hospital. Transfer now. Please help!
1,I WILL GIVE YOU DETAILS—PLEASE WIRE ₹2500 NOW. Please help!
1,I WANT TO MEET THE PRIME MINISTER. ARRANGE IT FOR ME.
1,PLEASE GET ME A MEETING WITH THE CHIEF MINISTER. Please help!
1,Kindly note: Can you arrange to meet the Mayor? It's important.
1,I NEED AN APPOINTMENT WITH THE DISTRICT COLLECTOR TOMORROW.
